brand,Topic - Driving & Control,Topic - Exterior,Topic - Interior,Topic - Official Online,Topic - Post-Sales,Topic - Purchase,Topic - Question
Audi,70268,50784,21281,1488,11953,78971,8659
BMW,78919,63673,29679,1562,20250,106787,10258
Land Rover,21492,15124,5191,692,5194,42001,5962
Lexus,14200,9857,6014,650,2389,19089,2771
Mercedes-Benz,3842,2363,653,90,321,1934,114
Porsche,35580,22208,6997,957,4867,37340,5897
